ID,Genotipo
G1019,1
G1061,1
G110,1
G1113,1
G111,1
G1154,1
G1188,1
G1195,1
G1198,1
G1199,1
G1200,1
G1243,1
G1356,1
G1357m,1
G139,1
G1421,1
G149m,1
G1512,1
G1516,1
G1522,1
G1523,1
G1528,1
G1567,1
G1609,1
G1612,1
G1616,1
G1646,1
G1657,1
G1672,1
G1684,1
G1686,1
G1713,1
G1716m,1
G1773,1
G1795,1
G1824,1
G182,1
G1863,1
G1869m,1
G1893,1
G1920,1
G1964,1
G2042,1
G204,1
G2096,1
G2097,1
G216,1
G217,1
G2190,1
G2194,1
G2225,1
G2239,1
G2243,1
G2254,1
G2255,1
G2263,1
G2265,1
G2275,1
G228,1
G2294,1
G2306,1
G2307,1
G2309,1
G2326,1
G2341,1
G2344,1
G2423,1
G2430,1
G2456,1
G2457,1
G2462,1
G2490,1
G255,1
G2581,1
G2638,1
G2656,1
G2726,1
G2750,1
G2765,1
G2786,1
G2803,1
G2808,1
G2813,1
G2821,1
G2827,1
G302m,1
G3064,1
G3072,1
G320m,1
G321m,1
G358m,1
G441m,1
G442m,1
G446,1
G508m,1
G554,1
G560,1
G568m,1
G572,1
G597,1
G69,1
G701m,1
G837m,1
G880m,1
G881m,1
G910,1
G925,1
G932,1
G982,1
G03,2
G1000,2
G1010,2
G1012,2
G1059m,2
G1060,2
G1090,2
G1098m,2
G1099,2
G1105m,2
G1152,2
G1163,2
G1170,2
G117,2
G1201,2
G124,2
G125,2
G1272,2
G1288m,2
G130,2
G1315,2
G1316,2
G1318,2
G1342,2
G1347,2
G1354,2
G1367,2
G1411,2
G1422,2
G1428,2
G1433,2
G1439,2
G144,2
G1471_NOSIP,2
G1474_NOSIP,2
G147,2
G1481,2
G1484m,2
G1505,2
G1506,2
G1513,2
G151,2
G1520,2
G1533,2
G1538,2
G1539,2
G1545,2
G1546,2
G1566,2
G1590,2
G1607,2
G1611,2
G1627,2
G1644,2
G165,2
G166,2
G1676,2
G1678,2
G167,2
G1703,2
G1717,2
G1752m,2
G1754,2
G1764,2
G1768,2
G176,2
G1772,2
G1775,2
G1777m,2
G1778,2
G1780,2
G1783,2
