ID,Genotipo
G01,1
G02,1
G1073,1
G1137,1
G1152,1
G124,1
G1332,1
G1358,1
G1364,1
G1545,1
G1582,1
G1915,1
G1916,1
G1918,1
G1922,1
G1925,1
G1941,1
G2024,1
G2095,1
G2179,1
G2228,1
G2229,1
G2281,1
G22,1
G2435,1
G2451,1
G2728,1
G2836,1
G2979,1
G298m,1
G3000,1
G323m,1
G356m,1
G470m,1
G828m,1
G838m,1
G888,1
G941,1
G03,2
G1000,2
G1012,2
G1059m,2
G1060,2
G1090,2
G1098m,2
G1099,2
G1163,2
G1170,2
G117,2
G1201,2
G125,2
G1272,2
G1288m,2
G130,2
G1315,2
G1316,2
G1318,2
G1342,2
G1347,2
G1354,2
G1367,2
G1411,2
G1422,2
G1428,2
G1439,2
G144,2
G1471_NOSIP,2
G1474_NOSIP,2
G147,2
G1481,2
G1484m,2
G1505,2
G1506,2
G1513,2
G151,2
G1520,2
G1533,2
G1538,2
G1539,2
G1546,2
G1566,2
G1590,2
G1607,2
G1627,2
G1644,2
G165,2
G1676,2
G167,2
G1703,2
G1717,2
G1752m,2
G1764,2
G1768,2
G1775,2
G1777m,2
G1778,2
G1780,2
G1783,2
G1788,2
G1792,2
G1828m,2
G1829,2
G1836,2
G1842,2
G1858m,2
G1860,2
G1864,2
G1867m,2
G1908,2
G1910,2
G192,2
G1970,2
G1972,2
G1997,2
G2002,2
G2019,2
G2027,2
G2036,2
G2038,2
G2041,2
G2049,2
G2059,2
G2093,2
G2105,2
G2166,2
G2168,2
G2171,2
G2193,2
G2195,2
G2197m,2
G2198,2
G2201,2
G2214,2
G2218,2
G2220,2
G2226,2
G2227,2
G224,2
G2264,2
G2266,2
G2279,2
G2280,2
G2297,2
G2310,2
G2336,2
G237,2
G2397,2
G2407,2
G2411,2
G2414,2
G2420,2
G2447,2
G2464,2
G2465m,2
G2469,2
G2475,2
G2481,2
G2483m,2
G2498m,2
G249,2
G251,2
G2526,2
G2532,2
G2535,2
G2571,2
G2579,2
G2603,2
G2606,2
G2610,2
G2620,2
G2624,2
G2630,2
G2660,2
G2682,2
G2685,2
G2698,2
G271,2
G2769,2
G2788,2
G2837,2
G287,2
G3058,2
G3061,2
G3074,2
G338m,2
G368m,2
G398m,2
G401m,2
G403m,2
G410m,2
G498m,2
G499m,2
G503m,2
G552m,2
G553m,2
G556m,2
G562m,2
G566m,2
G571m,2
G587,2
G589,2
G681m,2
G697m,2
G73,2
G766m,2
G817m,2
G830m,2
G83,2
G846m,2
G860m,2
G884,2
G886,2
G906,2
G909,2
G921,2
G923m,2
G950,2
G95m_NOSIP,2
G980,2
G1019,3
G1061,3
G110,3
G1113,3
G111,3
G1188,3
G1195,3
G1198,3
G1199,3
G1200,3
G1243,3
G1356,3
G1357m,3
G1421,3
G149m,3
G1512,3
G1516,3
G1522,3
G1523,3
G1528,3
G1567,3
G1609,3
G1612,3
G1616,3
G1646,3
G1657,3
G1672,3
G1684,3
G1686,3
G1713,3
G1716m,3
G1773,3
G182,3
G1863,3
G1869m,3
G1893,3
G1920,3
G1964,3
G2042,3
G2096,3
G2097,3
G216,3
G217,3
G2190,3
G2194,3
G2225,3
G2239,3
G2243,3
G2254,3
G2255,3
G2263,3
G2265,3
G2294,3
G2306,3
G2309,3
G2326,3
G2341,3
G2344,3
G2423,3
G2430,3
G2456,3
G2457,3
G2462,3
G2490,3
G2656,3
G2726,3
G2750,3
G2765,3
G2786,3
G2803,3
G2808,3
G2813,3
G2821,3
G3064,3
G3072,3
G320m,3
G321m,3
G358m,3
G441m,3
G442m,3
G446,3
G508m,3
G554,3
G560,3
G568m,3
G572,3
G597,3
G69,3
G701m,3
G837m,3
G880m,3
G881m,3
G910,3
G925,3
G932,3
G982,3
G04,4
G1058,4
G109,4
G1160,4
G116,4
G1185,4
G1191,4
G1192,4
G1246,4
G1261,4
G126,4
G1279,4
G1285,4
G1286,4
G1308,4
G1334,4
G1351,4
G1359,4
G1378,4
G1404,4
G1429,4
G1432,4
G145,4
G1467,4
G1476,4
G1487,4
G1489,4
G1496,4
G1497,4
G1499,4
G1530,4
G1544,4
G1558,4
G1577,4
G1583,4
G1604,4
G1615m,4
G1617,4
G1630,4
G1654,4
G1661,4
G1671,4
G1687,4
G1693,4
G1701,4
G1704,4
G1739,4
G1763,4
G1769,4
G1774,4
G1787,4
G1821,4
G1853,4
G1854,4
G1855m,4
G1862,4
G1868m,4
G1907,4
G190,4
G1934,4
G1935,4
G1940,4
G1948,4
G1967,4
G1983m,4
G1984,4
G1986,4
G1989,4
G1994,4
G2020,4
G2023m,4
G2029,4
G2037,4
G2044,4
G2052,4
G2065,4
G2074,4
G212,4
G2134,4
G2143,4
G2145,4
G2155m,4
G2180,4
G2187,4
G2188,4
G2209,4
G2215,4
G2246,4
G2267,4
G2305,4
G2312,4
G2313,4
G2338,4
G2345,4
G2347,4
G2371m,4
G2415,4
G2436,4
G2443,4
G2468,4
G246,4
G2478,4
G2485,4
G2491,4
G2534,4
G258,4
G259,4
G2607,4
G2661,4
G2695,4
G2755,4
G278m,4
G2812,4
G2817,4
G2874,4
G2912,4
G2921,4
G2986,4
G313m,4
G334,4
G357m,4
G460,4
G463m,4
G486,4
G501m,4
G545m,4
G548,4
G570,4
G627m,4
G634m,4
G67m,4
G693m,4
G764m,4
G77,4
G782m,4
G824m,4
G873m,4
G924,4
G937,4
G947,4
G987,4
G1002,5
G1011,5
G1023,5
G1036,5
G119,5
G1238FE28,5
G1302m,5
G1303,5
G143,5
G1449,5
G1458,5
G1461,5
G1537,5
G1557,5
G1570,5
G1571,5
G1578,5
G1585,5
G1603,5
G1610,5
G164,5
G168,5
G1715,5
G1725,5
G1731,5
G1732,5
G1743,5
G1784,5
G1786,5
G1801,5
G1823,5
G1825,5
G1827,5
G1859,5
G1885,5
G1923,5
G1938,5
G1953,5
G1958,5
G1985,5
G1998,5
G2017,5
G201,5
G2039,5
G2048,5
G2062,5
G2064,5
G2070,5
G2071,5
G2092,5
G2125,5
G2130,5
G2133,5
G2137,5
G2147,5
G214,5
G2152,5
G2173,5
