ID,cluster10snps
G1010,Cluster_1
G2099,Cluster_1
G945,Cluster_2
G1023,Cluster_2
G982,Cluster_3
G1616,Cluster_3
G2457,Cluster_3
G2456,Cluster_3
G1061,Cluster_3
G2243,Cluster_3
G1090,Cluster_4
G271,Cluster_4
G2059,Cluster_4
G1775,Cluster_4
G1842,Cluster_4
G1562,Cluster_5
G1128,Cluster_5
G1144,Cluster_6
G2705,Cluster_6
G2114,Cluster_6
G1158m,Cluster_7
G2953,Cluster_7
G1736,Cluster_8
G1161,Cluster_8
G1786,Cluster_9
G669,Cluster_9
G1537,Cluster_9
G1238FE28,Cluster_9
G693m,Cluster_10
G764m,Cluster_10
G1432,Cluster_10
G1261,Cluster_10
G2443,Cluster_10
G2607,Cluster_10
G1269,Cluster_11
G1355,Cluster_11
G1334,Cluster_12
G1285,Cluster_12
G2091,Cluster_13
G1304,Cluster_13
G1305,Cluster_13
G1310,Cluster_14
G1309,Cluster_14
G1634,Cluster_14
G1314,Cluster_15
G444,Cluster_15
G1967,Cluster_16
G1615m,Cluster_16
G1351,Cluster_16
G1364,Cluster_17
G2179,Cluster_17
G139,Cluster_18
G204,Cluster_18
G2630,Cluster_19
G1428,Cluster_19
G73,Cluster_19
G250,Cluster_20
G142,Cluster_20
G459m,Cluster_21
G1438,Cluster_21
G682,Cluster_21
G1761,Cluster_22
G146m,Cluster_22
G2079,Cluster_22
G1141,Cluster_22
G1747,Cluster_22
G1621,Cluster_23
G1494,Cluster_23
G1495,Cluster_23
G2230,Cluster_23
G871m,Cluster_23
G1273,Cluster_23
G1505,Cluster_24
G1506,Cluster_24
G1513,Cluster_25
G766m,Cluster_25
G817m,Cluster_25
G1910,Cluster_25
G1525,Cluster_26
G1517,Cluster_26
G2182,Cluster_26
G2284,Cluster_26
G1635,Cluster_26
G1524,Cluster_27
G2623,Cluster_27
G1805,Cluster_27
G1576,Cluster_27
G1630,Cluster_28
G1544,Cluster_28
G1089,Cluster_29
G1563,Cluster_29
G317m,Cluster_29
G1742,Cluster_30
G1564,Cluster_30
G2567,Cluster_31
G1570,Cluster_31
G1578,Cluster_31
G2416,Cluster_32
G3062,Cluster_32
G1585,Cluster_32
G2460,Cluster_32
G2671,Cluster_32
G2137,Cluster_32
G1715,Cluster_32
G1461,Cluster_32
G2632,Cluster_32
G2152,Cluster_32
G2485,Cluster_33
G2020,Cluster_33
G1986,Cluster_33
G2023m,Cluster_33
G1862,Cluster_33
G1604,Cluster_33
G2155m,Cluster_33
G1704,Cluster_33
G2209,Cluster_33
G2143,Cluster_33
G2755,Cluster_33
G1983m,Cluster_33
G1821,Cluster_33
G2383,Cluster_34
G1611,Cluster_34
G1620,Cluster_35
G2098,Cluster_35
G1628,Cluster_35
G2103,Cluster_36
G1637,Cluster_36
G1785,Cluster_37
G1653,Cluster_37
G848m,Cluster_37
G2783,Cluster_37
G1648,Cluster_37
G538m,Cluster_37
G1724,Cluster_38
G1770,Cluster_38
G2962,Cluster_39
G991,Cluster_39
G990,Cluster_39
G2054m,Cluster_39
G992,Cluster_39
G1759,Cluster_39
G1769,Cluster_40
G1763,Cluster_40
G1782,Cluster_41
G1954,Cluster_41
G1854,Cluster_42
G334,Cluster_42
G1948,Cluster_42
G1939,Cluster_43
G733,Cluster_43
G2780,Cluster_43
G1889,Cluster_43
G200,Cluster_44
G268,Cluster_44
G393m,Cluster_44
G2728,Cluster_45
G828m,Cluster_45
G2024,Cluster_45
G2033,Cluster_46
G2200,Cluster_46
G2186,Cluster_46
G2183,Cluster_47
G2047,Cluster_47
G2074,Cluster_48
G313m,Cluster_48
G630m,Cluster_49
G810m,Cluster_49
G2128,Cluster_49
G2154,Cluster_50
G2160,Cluster_50
G2157,Cluster_51
G2159,Cluster_51
G508m,Cluster_52
G216,Cluster_52
G2189,Cluster_53
G3054,Cluster_53
G2910,Cluster_53
G2528,Cluster_53
G2937,Cluster_53
G578m,Cluster_53
G2211,Cluster_54
G2801,Cluster_54
G2798Lib2,Cluster_54
G2291,Cluster_55
G2293,Cluster_55
G2289,Cluster_55
G2258,Cluster_55
G2278,Cluster_56
G2276,Cluster_56
G228,Cluster_57
G255,Cluster_57
G2324,Cluster_58
G2320,Cluster_58
G2368,Cluster_59
G2536,Cluster_59
G2537m,Cluster_59
G2411,Cluster_60
G2397,Cluster_60
G2470,Cluster_61
G25,Cluster_61
G1431,Cluster_61
G2571,Cluster_62
G2579,Cluster_62
G2606,Cluster_63
G1481,Cluster_63
G2610,Cluster_63
G681m,Cluster_63
G641m,Cluster_64
G1190,Cluster_64
G262,Cluster_64
G2648,Cluster_65
G2740,Cluster_65
G2749,Cluster_65
G1752m,Cluster_66
G2685,Cluster_66
G2698,Cluster_66
G2837,Cluster_66
G2806,Cluster_67
G2807,Cluster_67
G2894,Cluster_68
G3003,Cluster_68
G168,Cluster_69
G1958,Cluster_69
G2970,Cluster_69
G2971,Cluster_69
G164,Cluster_69
G431m,Cluster_70
G120,Cluster_70
G435m,Cluster_70
G572,Cluster_71
G554,Cluster_71
G580m,Cluster_72
G565m,Cluster_72
G923m,Cluster_73
G906,Cluster_73
G83,Cluster_73
G976,Cluster_74
G934,Cluster_74
G951,Cluster_75
G958,Cluster_75
G1571,Cluster_76
G1449,Cluster_76
G2641,Cluster_76
G1732,Cluster_76
G2654,Cluster_76
G1859,Cluster_76
G621m,Cluster_76
G2130,Cluster_76
G1603,Cluster_76
G2779,Cluster_76
G2273,Cluster_76
G1610,Cluster_76
G637m,Cluster_76
G2920,Cluster_76
G2631,Cluster_76
G1011,Cluster_76
G1823,Cluster_76
G201,Cluster_76
G882m,Cluster_76
G2236,Cluster_77
G2234,Cluster_77
G2233,Cluster_77
G1957,Cluster_77
G2244,Cluster_77
G103,Cluster_77
G1863,Cluster_78
G2190,Cluster_78
G1200,Cluster_78
G2813,Cluster_78
G1199,Cluster_78
G2808,Cluster_78
G1869m,Cluster_78
G2343Lib2,Cluster_79
G835m,Cluster_79
G1799,Cluster_79
G123,Cluster_79
G1258,Cluster_80
G128,Cluster_80
G679m,Cluster_81
G114,Cluster_81
G815m,Cluster_81
G2533,Cluster_81
G813m,Cluster_81
G1330,Cluster_81
G1496,Cluster_82
G1994,Cluster_82
