"Isolate","level 1","level 2","level 3","level 4","level 5","level 6","level 7","level 8"
"G01",1,1,1,1,1,1,1,1
"G02",1,1,1,1,1,1,1,1
"G03",1,1,1,1,1,1,1,1
"G04",1,1,1,1,1,1,1,1
"G1000",1,1,1,1,1,1,1,1
"G1002",1,1,1,1,1,1,1,1
"G1009",1,1,1,1,1,1,1,1
"G1010",1,1,1,1,1,1,1,1
"G1011",1,1,1,1,1,1,1,1
"G1012",1,1,1,1,1,1,1,1
"G1015",1,1,1,1,1,1,1,1
"G1017",1,1,1,1,1,1,1,1
"G1018",1,1,1,1,1,1,1,1
"G1019",1,1,1,1,1,1,1,1
"G101",1,1,1,1,1,1,1,1
"G1022",1,1,1,1,1,1,1,1
"G1023",1,1,1,1,1,1,1,1
"G1036",1,1,1,1,1,1,1,1
"G103",1,1,1,1,1,1,1,1
"G1043",1,1,1,1,1,1,1,1
"G1056",1,1,1,1,1,1,1,1
"G1058",1,1,1,1,1,1,1,1
"G1059m",1,1,1,1,1,1,1,1
"G1060",1,1,1,1,1,1,1,1
"G1061",1,1,1,1,1,1,1,1
"G1062m",1,1,1,1,1,1,1,1
"G1063",1,1,1,1,1,1,1,1
"G1065",1,1,1,1,1,1,1,1
"G1068",1,1,1,1,1,1,1,1
"G1073",1,1,1,1,1,1,1,1
"G1089",1,1,1,1,1,1,1,1
"G108",1,1,1,1,1,1,1,1
"G1090",1,1,1,1,1,1,1,1
"G1093m",1,1,1,1,1,1,1,1
"G1098m",1,1,1,1,1,1,1,1
"G1099",1,1,1,1,1,1,1,1
"G109",1,1,1,1,1,1,1,1
"G1105m",1,1,1,1,1,1,1,1
"G1107",1,1,1,1,1,1,1,1
"G110",1,1,1,1,1,1,1,1
"G1113",1,1,1,1,1,1,1,1
"G111",1,1,1,1,1,1,1,1
"G1128",1,1,1,1,1,1,1,1
"G1133m",1,1,1,1,1,1,1,1
"G1137",1,1,1,1,1,1,1,1
"G1141",1,1,1,1,1,1,1,1
"G1144",1,1,1,1,1,1,1,1
"G1152",1,1,1,1,1,1,1,1
"G1154",1,1,1,1,1,1,1,1
"G1156",1,1,1,1,1,1,1,1
"G1158m",1,1,1,1,1,1,1,1
"G1160",1,1,1,1,1,1,1,1
"G1161",1,1,1,1,1,1,1,1
"G1163",1,1,1,1,1,1,1,1
"G116",1,1,1,1,1,1,1,1
"G1170",1,1,1,1,1,1,1,1
"G117",1,1,1,1,1,1,1,1
"G1180",1,1,1,1,1,1,1,1
"G1181",1,1,1,1,1,1,1,1
"G1185",1,1,1,1,1,1,1,1
"G1188",1,1,1,1,1,1,1,1
"G1190",1,1,1,1,1,1,1,1
"G1191",1,1,1,1,1,1,1,1
"G1192",1,1,1,1,1,1,1,1
"G1195",1,1,1,1,1,1,1,1
"G1198",1,1,1,1,1,1,1,1
"G1199",1,1,1,1,1,1,1,1
"G119",1,1,1,1,1,1,1,1
"G1200",1,1,1,1,1,1,1,1
"G1201",1,1,1,1,1,1,1,1
"G1202",1,1,1,1,1,1,1,1
"G1204",1,1,1,1,1,1,1,1
"G120",1,1,1,1,1,1,1,1
"G122",1,1,1,1,1,1,1,1
"G1238FE28",1,1,1,1,1,1,1,1
"G123",1,1,1,1,1,1,1,1
"G1243",1,1,1,1,1,1,1,1
"G1246",1,1,1,1,1,1,1,1
"G124",1,1,1,1,1,1,1,1
"G1258",1,1,1,1,1,1,1,1
"G125",1,1,1,1,1,1,1,1
"G1261",1,1,1,1,1,1,1,1
"G1268",1,1,1,1,1,1,1,1
"G1269",1,1,1,1,1,1,1,1
"G126",1,1,1,1,1,1,1,1
"G1270",1,1,1,1,1,1,1,1
"G1272",1,1,1,1,1,1,1,1
"G1273",1,1,1,1,1,1,1,1
"G1274",1,1,1,1,1,1,1,1
"G1277",1,1,1,1,1,1,1,1
"G1279",1,1,1,1,1,1,1,1
"G127",1,1,1,1,1,1,1,1
"G1280",1,1,1,1,1,1,1,1
"G1285",1,1,1,1,1,1,1,1
"G1286",1,1,1,1,1,1,1,1
"G1288m",1,1,1,1,1,1,1,1
"G128",1,1,1,1,1,1,1,1
"G1293",1,1,1,1,1,1,1,1
"G1296",1,1,1,1,1,1,1,1
"G1302m",1,1,1,1,1,1,1,1
