"lvl3","Isolate","color"
1,"G01","#00429d"
1,"G1137","#00429d"
1,"G1582","#00429d"
1,"G1941","#00429d"
1,"G2228","#00429d"
1,"G2229","#00429d"
1,"G1152","#00429d"
1,"G1545","#00429d"
1,"G1918","#00429d"
1,"G22","#00429d"
1,"G838m","#00429d"
1,"G124","#00429d"
1,"G323m","#00429d"
1,"G941","#00429d"
1,"G1358","#00429d"
1,"G3000","#00429d"
2,"G02","#0649a0"
2,"G2024","#0649a0"
2,"G2728","#0649a0"
2,"G828m","#0649a0"
2,"G2979","#0649a0"
2,"G298m","#0649a0"
3,"G1073","#0c51a3"
3,"G2435","#0c51a3"
3,"G2451","#0c51a3"
3,"G356m","#0c51a3"
3,"G470m","#0c51a3"
4,"G1332","#1258a6"
4,"G1922","#1258a6"
4,"G1925","#1258a6"
4,"G1915","#1258a6"
4,"G1916","#1258a6"
4,"G2095","#1258a6"
4,"G2281","#1258a6"
5,"G1364","#175fa9"
5,"G2179","#175fa9"
5,"G2836","#175fa9"
5,"G888","#175fa9"
6,"G03","#1d67ac"
6,"G1347","#1d67ac"
6,"G1471_NOSIP","#1d67ac"
6,"G1474_NOSIP","#1d67ac"
6,"G1505","#1d67ac"
6,"G1506","#1d67ac"
6,"G1538","#1d67ac"
6,"G1783","#1d67ac"
6,"G2266","#1d67ac"
6,"G503m","#1d67ac"
6,"G1090","#1d67ac"
6,"G1775","#1d67ac"
6,"G1842","#1d67ac"
6,"G2059","#1d67ac"
6,"G271","#1d67ac"
6,"G125","#1d67ac"
6,"G1342","#1d67ac"
6,"G147","#1d67ac"
6,"G1676","#1d67ac"
6,"G1792","#1d67ac"
6,"G1829","#1d67ac"
6,"G2105","#1d67ac"
6,"G1272","#1d67ac"
6,"G1315","#1d67ac"
6,"G1439","#1d67ac"
6,"G144","#1d67ac"
6,"G151","#1d67ac"
6,"G1539","#1d67ac"
6,"G1546","#1d67ac"
6,"G1566","#1d67ac"
6,"G1607","#1d67ac"
6,"G1768","#1d67ac"
6,"G1777m","#1d67ac"
6,"G1778","#1d67ac"
6,"G1972","#1d67ac"
6,"G2002","#1d67ac"
6,"G2019","#1d67ac"
6,"G2093","#1d67ac"
6,"G2226","#1d67ac"
6,"G2279","#1d67ac"
6,"G237","#1d67ac"
6,"G2397","#1d67ac"
6,"G2411","#1d67ac"
6,"G2526","#1d67ac"
6,"G2603","#1d67ac"
6,"G2660","#1d67ac"
6,"G2769","#1d67ac"
6,"G2788","#1d67ac"
