DATASET_COLORSTRIP,,
SEPARATOR COMMA,,
DATASET_LABEL, fastlvl1,
DATA,,
G01,#a6cee3,1
G02,#a6cee3,1
G03,#a6cee3,1
G1000,#a6cee3,1
G1010,#a6cee3,1
G1012,#a6cee3,1
G1019,#a6cee3,1
G1059m,#a6cee3,1
G1060,#a6cee3,1
G1061,#a6cee3,1
G1063,#a6cee3,1
G1073,#a6cee3,1
G1089,#a6cee3,1
G1090,#a6cee3,1
G1098m,#a6cee3,1
G1099,#a6cee3,1
G1105m,#a6cee3,1
G110,#a6cee3,1
G1113,#a6cee3,1
G111,#a6cee3,1
G1128,#a6cee3,1
G1137,#a6cee3,1
G1144,#a6cee3,1
G1152,#a6cee3,1
G1154,#a6cee3,1
G1156,#a6cee3,1
G1163,#a6cee3,1
G1170,#a6cee3,1
G117,#a6cee3,1
G1188,#a6cee3,1
G1195,#a6cee3,1
G1198,#a6cee3,1
G1199,#a6cee3,1
G1200,#a6cee3,1
G1201,#a6cee3,1
G122,#a6cee3,1
G1243,#a6cee3,1
G124,#a6cee3,1
G125,#a6cee3,1
G1272,#a6cee3,1
G1277,#a6cee3,1
G1288m,#a6cee3,1
G130,#a6cee3,1
G1315,#a6cee3,1
G1316,#a6cee3,1
G1318,#a6cee3,1
G1332,#a6cee3,1
G1342,#a6cee3,1
G1347,#a6cee3,1
G1349,#a6cee3,1
G1354,#a6cee3,1
G1356,#a6cee3,1
G1357m,#a6cee3,1
G1358,#a6cee3,1
G1364,#a6cee3,1
G1367,#a6cee3,1
G139,#a6cee3,1
G1411,#a6cee3,1
G1421,#a6cee3,1
G1422,#a6cee3,1
G1428,#a6cee3,1
G1433,#a6cee3,1
G1439,#a6cee3,1
G1440,#a6cee3,1
G144,#a6cee3,1
G1471_NOSIP,#a6cee3,1
G1474_NOSIP,#a6cee3,1
G147,#a6cee3,1
G1481,#a6cee3,1
G1484m,#a6cee3,1
G149m,#a6cee3,1
G1505,#a6cee3,1
G1506,#a6cee3,1
G1512,#a6cee3,1
G1513,#a6cee3,1
G1516,#a6cee3,1
G151,#a6cee3,1
G1520,#a6cee3,1
G1522,#a6cee3,1
G1523,#a6cee3,1
G1528,#a6cee3,1
G1533,#a6cee3,1
G1538,#a6cee3,1
G1539,#a6cee3,1
G1545,#a6cee3,1
G1546,#a6cee3,1
G1562,#a6cee3,1
G1563,#a6cee3,1
G1566,#a6cee3,1
G1567,#a6cee3,1
G1582,#a6cee3,1
G1590,#a6cee3,1
G1607,#a6cee3,1
G1609,#a6cee3,1
G1611,#a6cee3,1
G1612,#a6cee3,1
G1616,#a6cee3,1
G1620,#a6cee3,1
G1627,#a6cee3,1
G1628,#a6cee3,1
