Isolates,lvl
G01,1
G02,1
G03,1
G1000,1
G1010,1
G1012,1
G1019,1
G1059m,1
G1060,1
G1061,1
G1063,1
G1073,1
G1089,1
G1090,1
G1098m,1
G1099,1
G1105m,1
G110,1
G1113,1
G111,1
G1128,1
G1137,1
G1144,1
G1152,1
G1154,1
G1156,1
G1163,1
G1170,1
G117,1
G1188,1
G1195,1
G1198,1
G1199,1
G1200,1
G1201,1
G122,1
G1243,1
G124,1
G125,1
G1272,1
G1277,1
G1288m,1
G130,1
G1315,1
G1316,1
G1318,1
G1332,1
G1342,1
G1347,1
G1349,1
G1354,1
G1356,1
G1357m,1
G1358,1
G1364,1
G1367,1
G139,1
G1411,1
G1421,1
G1422,1
G1428,1
G1433,1
G1439,1
G1440,1
G144,1
G1471_NOSIP,1
G1474_NOSIP,1
G147,1
G1481,1
G1484m,1
G149m,1
G1505,1
G1506,1
G1512,1
G1513,1
G1516,1
G151,1
G1520,1
G1522,1
G1523,1
G1528,1
G1533,1
G1538,1
G1539,1
G1545,1
G1546,1
G1562,1
G1563,1
G1566,1
G1567,1
G1582,1
G1590,1
G1607,1
G1609,1
G1611,1
G1612,1
G1616,1
G1620,1
G1627,1
G1628,1
G1644,1
G1646,1
G1657,1
G165,1
G1664,1
G166,1
G1672,1
G1676,1
G1678,1
G167,1
G1684,1
G1686,1
G1697,1
G1703,1
G1711,1
G1713,1
G1716m,1
G1717,1
G1718,1
G1724,1
G1752m,1
G1754,1
G1764,1
G1768,1
G176,1
G1770,1
G1772,1
G1773,1
G1775,1
G1777m,1
G1778,1
G1780,1
G1783,1
G1788,1
G1792,1
G1795,1
G1818,1
G1824,1
G1828m,1
G1829,1
G182,1
G1836,1
G183,1
G1842,1
G1858m,1
G1860,1
G1863,1
G1864,1
G1867m,1
G1869m,1
G1893,1
G1908,1
G1910,1
G1915,1
G1916,1
G1918,1
G1920,1
G1922,1
G1925,1
G192,1
G1941,1
G1964,1
G1970,1
G1972,1
G1997,1
G19,1
G2002,1
G2019,1
G2024,1
G2027,1
G2036,1
G2038,1
G2041,1
G2042,1
G2049,1
G204,1
G2059,1
G205,1
G2093,1
G2095,1
G2096,1
G2097,1
G2098,1
G2099,1
G2105,1
G2112,1
G2114,1
G2120,1
G2136,1
G2146,1
G2166,1
G2168,1
G216,1
G2171,1
G2179,1
G217,1
G2190,1
G2193,1
G2194,1
G2195,1
G2197m,1
G2198,1
G2201,1
G2206,1
G2214,1
G2218,1
G2220,1
G2225,1
G2226,1
G2227,1
G2228,1
G2229,1
G222,1
G2239,1
G2243,1
G224,1
G2254,1
G2255,1
G2263,1
G2264,1
G2265,1
G2266,1
G2275,1
G2276,1
G2278,1
G2279,1
G2280,1
G2281,1
G228,1
G2294,1
G2297,1
G22,1
G2306,1
G2307,1
G2309,1
G2310,1
G2326,1
G2334,1
G2336,1
G2341,1
G2344,1
G237,1
G2383,1
G2397,1
G2407,1
G2411,1
G2414,1
G2420,1
G2423,1
G2430,1
G2435,1
G2447,1
G2451,1
G2456,1
G2457,1
G2462,1
G2464,1
G2465m,1
G2469,1
G2475,1
G2479,1
G247,1
G2481,1
G2483m,1
G2490,1
G2498m,1
G249,1
G2500,1
G251,1
G2526,1
G2532,1
G2535,1
G255,1
G2571,1
G2579,1
G2581,1
G2603,1
G2606,1
G2610,1
G2620,1
G2622,1
G2624,1
G2630,1
G2638,1
G2656,1
G2660,1
G2668,1
G2682,1
G2685,1
G2688,1
G2698,1
G2705,1
G271,1
G2726,1
G2728,1
G2750,1
G2765,1
G2769,1
G2786,1
G2788,1
G2803,1
G2806,1
G2807,1
G2808,1
G2813,1
G2821,1
G2827,1
G2836,1
G2837,1
G287,1
G2979,1
G298m,1
G3000,1
G302m,1
G3058,1
G3061,1
G3064,1
G3072,1
G3074,1
G317m,1
G320m,1
G321m,1
G323m,1
G338m,1
G356m,1
G358m,1
G368m,1
G377,1
G398m,1
G401m,1
G403m,1
G409,1
G410m,1
G441m,1
G442m,1
G446,1
G470m,1
G471m,1
G498m,1
G499m,1
G503m,1
G508m,1
G552m,1
G553m,1
G554,1
G556m,1
G560,1
G562m,1
G566m,1
G568m,1
G571m,1
G572,1
G587,1
G589,1
G597,1
G654m,1
G681m,1
G697m,1
G69,1
G701m,1
G73,1
G766m,1
G817m,1
G828m,1
G830m,1
G837m,1
G838m,1
G83,1
G846m,1
G860m,1
G880m,1
G881m,1
G883,1
G884,1
G885,1
G886,1
G888,1
G906,1
G909,1
G910,1
G921,1
G923m,1
G925,1
G932,1
G940,1
G941,1
G950,1
G951,1
G958,1
G95m_NOSIP,1
G980,1
G982,1
G989,1
G04,2
G1002,2
G1011,2
G1022,2
G1023,2
G1036,2
G1058,2
G109,2
G1160,2
G116,2
G1185,2
G1191,2
G1192,2
G119,2
G1238FE28,2
G1246,2
G1261,2
G126,2
G1279,2
G1280,2
G1285,2
G1286,2
G1293,2
G1302m,2
G1303,2
G1308,2
G1334,2
G1351,2
G1359,2
G135,2
G1369,2
G1378,2
G1404,2
G1429,2
G1432,2
G1438,2
G143,2
G1449,2
G1458,2
G1459,2
G145,2
G1461,2
G1467,2
G1476,2
G1487,2
G1489,2
G1496,2
G1497,2
G1499,2
G1518,2
G152,2
G1530,2
G1537,2
G1544,2
G1557,2
G1558,2
G1570,2
G1571,2
G1577,2
G1578,2
G1583,2
G1585,2
G1603,2
G1604,2
G1610,2
G1614,2
G1615m,2
G1617,2
G1630,2
G164,2
G1654,2
G1661,2
G1671,2
G1687,2
G168,2
G1693,2
G1701,2
G1704,2
G1715,2
G1725,2
G1728,2
G1731,2
G1732,2
G1739,2
G1741,2
G1743,2
G1745m,2
G1756m,2
G1763,2
G1765,2
G1767,2
G1769,2
G1774,2
G1784,2
G1786,2
G1787,2
G1801,2
G1821,2
G1823,2
G1825,2
G1827,2
G1841,2
G1849m,2
G1850,2
G1853,2
G1854,2
G1855m,2
G1859,2
G1862,2
G1868m,2
G1870,2
G1885,2
G1889,2
G1907,2
G190,2
G191,2
G1923,2
G1934,2
G1935,2
G1938,2
G1939,2
G1940,2
