"Isolate","level 1","level 2","level 3","level 4","level 5","level 6"
"G01",1,1,1,1,1,1
"G02",1,1,2,5,3,2
"G03",1,2,6,8,4,3
"G04",2,4,9,14,7,5
"G1000",1,2,7,20,9,7
"G1002",2,5,12,23,13,11
"G1009",3,8,17,26,18,13
"G1010",3,9,21,31,21,16
"G1011",2,5,13,33,23,20
"G1012",1,2,7,20,9,7
"G1015",3,10,23,36,24,21
"G1017",3,10,24,38,29,23
"G1018",3,8,17,27,32,24
"G1019",1,3,26,41,34,25
"G101",4,11,31,45,36,27
"G1022",2,6,35,47,37,28
"G1023",2,5,14,50,39,29
"G1036",2,5,13,34,40,30
"G103",3,10,23,36,25,31
"G1043",2,7,40,54,42,32
"G1056",4,12,44,56,43,33
"G1058",2,4,10,59,44,34
"G1059m",1,2,7,20,9,8
"G1060",1,2,8,61,47,38
"G1061",1,3,27,67,48,39
"G1062m",3,10,25,69,49,40
"G1063",3,9,21,31,22,43
"G1065",3,10,25,70,53,47
"G1068",3,10,25,69,49,40
"G1073",1,1,3,73,57,49
"G1089",3,9,21,31,22,44
"G108",3,10,23,37,58,50
"G1090",1,2,6,9,62,53
"G1093m",2,7,41,75,63,54
"G1098m",1,2,8,62,64,55
"G1099",1,2,8,63,67,56
"G109",2,4,9,15,70,58
"G1105m",3,9,21,31,21,17
"G1107",4,12,45,80,72,62
"G110",1,3,26,41,35,63
"G1113",1,3,26,42,73,66
"G111",1,3,26,43,76,67
"G1128",3,9,22,83,79,68
"G1133m",4,13,47,88,82,70
"G1137",1,1,1,1,2,71
"G1141",3,10,23,37,59,72
"G1144",3,9,21,31,22,45
"G1152",1,1,1,2,83,73
"G1154",3,9,21,32,85,74
"G1156",3,9,21,32,86,79
"G1158m",3,10,23,36,26,81
"G1160",2,4,9,16,88,83
"G1161",3,8,18,90,90,84
"G1163",1,2,8,63,67,56
"G116",2,4,10,59,45,85
"G1170",1,2,7,21,92,89
"G117",1,2,7,20,9,8
"G1180",4,11,32,92,95,90
"G1181",4,11,32,92,95,90
"G1185",2,4,10,60,96,91
